Interval,Model,Acc,F1,Sens,Spec,AUC
Interval 1,EDDA,-0.70%,-32.10%,-74.80%,20.00%,5.60%
Interval 1,KNN,3.60%,24.50%,-49.00%,19.70%,-0.10%
Interval 1,LogReg,-1.80%,50.30%,-9.20%,-3.30%,-1.90%
Interval 2,EDDA,-18.10%,-0.30%,-23.80%,-14.40%,-15.90%
Interval 2,KNN,-18.80%,1.40%,-19.20%,-12.80%,-16.90%
Interval 2,LogReg,-19.80%,2.20%,-17.30%,-19.00%,-16.50%
Interval 3,EDDA,-25.00%,-20.80%,-51.50%,-13.30%,-24.70%
Interval 3,KNN,-27.10%,-26.70%,-50.70%,-15.80%,-20.20%
Interval 3,LogReg,-26.20%,-10.30%,-30.80%,-24.90%,-25.50%
Interval 4,EDDA,-34.60%,-38.10%,-42.80%,-27.10%,-28.30%
Interval 4,KNN,-29.30%,-32.00%,-49.50%,-8.50%,-25.90%
Interval 4,LogReg,-35.40%,-32.00%,-40.00%,-31.80%,-32.30%
Interval 5,EDDA,11.60%,16.80%,-19.70%,-3.00%,-2.10%
Interval 5,KNN,-21.40%,-0.50%,-19.30%,-5.10%,-13.00%
Interval 5,LogReg,-24.70%,-1.00%,-10.10%,-22.00%,-19.60%
Interval 6,EDDA,0.00%,0.00%,0.00%,0.00%,0.00%
Interval 6,KNN,-16.90%,1.10%,-10.00%,-2.60%,-25.60%
Interval 6,LogReg,0.00%,0.00%,-60.40%,-0.30%,0.00%
