interval,model,accuracy,f1,sensitivity,specificity,auc
1,EDDA,0.8013355592654424,0.2746293128029655,0.17037037037037037,0.9849137931034483,0.8118175287356322
1,LogReg,0.7045075125208681,0.5444868532654792,0.7851851851851852,0.6788793103448276,0.8147749042145594
1,kNN,0.8130217028380634,0.4371966019417476,0.31851851851851853,0.959051724137931,0.7591435185185185
2,EDDA,0.7630718954248366,0.7072691552062867,0.7073170731707317,0.7978142076502732,0.8224599049269181
2,LogReg,0.75,0.7054258611030693,0.7398373983739838,0.7595628415300546,0.8120085299213649
2,kNN,0.7549019607843137,0.6524316109422492,0.5691056910569106,0.8825136612021858,0.789736883024568
3,EDDA,0.6917562724014337,0.542773346686219,0.4557522123893805,0.8554216867469879,0.7154147563706152
3,LogReg,0.6657706093189963,0.6021505376344085,0.6194690265486725,0.6987951807228916,0.7108167182002345
3,kNN,0.6845878136200717,0.4873806998939555,0.37168141592920356,0.9006024096385542,0.6785338255677578
4,EDDA,0.6086956521739131,0.5761560355583282,0.5465587044534413,0.6698841698841699,0.6451588951588951
4,LogReg,0.6007905138339921,0.5809702655273645,0.5708502024291497,0.6293436293436293,0.6379996248417301
4,kNN,0.6067193675889329,0.507353117866154,0.4149797570850202,0.7915057915057915,0.6332515279883699
5,EDDA,0.6454183266932271,0.6202515245605023,0.5843373493975903,0.7055335968379447,0.6900725431369747
5,LogReg,0.647410358565737,0.6252676659528907,0.5943775100401606,0.7035573122529645,0.6868263568106417
5,kNN,0.6523904382470119,0.5641671510689142,0.4518072289156626,0.849802371541502,0.6877629093448894
6,EDDA,0.7744034707158352,0.6809187213249283,0.5842105263157895,0.9040590405904059,0.7644494076519712
6,LogReg,0.7396963123644251,0.6684709363647018,0.6342105263157894,0.8118081180811808,0.7596329384346474
6,kNN,0.7570498915401301,0.6283783783783783,0.49473684210526314,0.940959409594096,0.7477422800543795
