Course,Scenario,R_tv,M_r,T1,T2,Se,Sp
AAA,S1,0.0,,-0.72,0.649,0.079,0.06
AAA,S2,47.6,,-0.412,0.651,0.079,0.06
AAA,S3,66.5,,-0.547,0.646,0.079,0.06
AAA,S4,27.2,,-0.251,0.647,0.079,0.06
BBB,S1,0.0,,-4.48,-0.015,0.047,0.031
BBB,S2,50.0,,-2.624,-0.018,0.047,0.031
BBB,S3,54.3,,-3.011,-0.016,0.047,0.031
BBB,S4,15.6,,-1.048,-0.021,0.047,0.031
CCC,S1,0.0,,-1.941,0.5,0.049,0.038
CCC,S2,53.0,,-1.203,0.492,0.049,0.038
CCC,S3,53.7,,-1.329,0.494,0.049,0.038
CCC,S4,19.1,,-0.632,0.497,0.049,0.038
DDD,S1,0.0,,-3.847,0.192,0.059,0.041
DDD,S2,58.3,,-2.605,0.197,0.059,0.041
DDD,S3,56.7,,-2.34,0.195,0.059,0.041
DDD,S4,26.9,,-1.33,0.202,0.059,0.041
EEE,S1,0.0,,-1.912,0.525,0.064,0.046
EEE,S2,56.8,,-1.265,0.516,0.064,0.046
EEE,S3,61.9,,-1.354,0.521,0.064,0.046
EEE,S4,29.4,,-1.055,0.518,0.064,0.046
FFF,S1,0.0,,-4.918,0.037,0.052,0.043
FFF,S2,57.2,,-3.141,0.028,0.052,0.043
FFF,S3,55.7,,-2.95,0.039,0.052,0.043
FFF,S4,22.6,,-1.408,0.03,0.052,0.043
GGG,S1,,,,,,
GGG,S2,,,,,,
GGG,S3,,,,,,
GGG,S4,,,,,,
