Course,Class,All_diff,Male_diff,Female_diff
AAA,Class0,57,38,19
AAA,Class1,26,13,13
AAA,Class2,-50,-29,-21
BBB,Class0,871,90,781
BBB,Class1,291,44,247
BBB,Class2,-808,-124,-684
CCC,Class0,700,520,180
CCC,Class1,52,41,11
CCC,Class2,-365,-298,-67
DDD,Class0,1166,692,474
DDD,Class1,-207,-105,-102
DDD,Class2,-790,-483,-307
EEE,Class0,1129,1003,126
EEE,Class1,-604,-536,-68
EEE,Class2,-324,-293,-31
FFF,Class0,1889,1519,370
FFF,Class1,-649,-519,-130
FFF,Class2,-804,-673,-131
GGG,Class0,-1002,-180,-822
GGG,Class1,-116,-22,-94
GGG,Class2,1275,225,1050
