gender,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_submitted,is_banked,num_assessments,avg_score,region_East Midlands Region,region_London Region,region_North Western Region,region_Scotland,region_South East Region,region_South Region,region_South West Region,region_Wales,region_West Midlands Region,region_Yorkshire Region,code_module_BBB,code_module_CCC,code_module_DDD,code_module_EEE,code_module_FFF,code_module_GGG,code_presentation_2013J,code_presentation_2014B,code_presentation_2014J
1,3,9.0,2,0,240,0,2,112.4,0,5,82.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,3,2.0,1,0,60,0,2,114.2,0,5,66.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2,5.0,1,0,60,0,2,112.2,0,5,76.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,5.0,0,0,60,0,2,125.6,0,5,54.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,2,8.0,1,0,60,0,2,116.2,0,5,68.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,3,3.0,0,0,60,0,2,114.6,0,5,68.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2,9.0,0,0,120,0,2,116.8,0,5,72.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2,7.0,0,0,90,0,2,115.6,0,5,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,7.0,1,0,60,0,2,113.4,0,5,74.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2,2.0,0,0,60,0,2,114.6,0,5,73.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,6.0,1,0,60,0,2,113.8,0,5,78.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,3,5.0,0,0,60,0,2,111.6,0,5,76.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,4.0,1,0,60,0,2,114.2,0,5,71.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2,6.0,1,0,60,0,2,109.6,0,5,55.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,2,0.0,1,0,150,0,1,90.5,0,4,48.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,3.0,1,0,60,0,2,113.6,0,5,66.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,2,3.0,0,0,60,0,2,115.0,0,5,70.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3,0.0,0,0,60,0,2,119.4,0,5,70.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,7.0,1,0,60,0,2,106.4,0,5,60.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,2,2.0,0,0,60,0,2,114.4,0,5,68.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,1,8.0,1,0,60,0,2,112.4,0,5,72.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
