code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,disability,label,sum_clicks,avg_clicks_per_day,avg_score,num_assessments,num_passed_assessments,exam_score
AAA,2013J,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,N,1,934.0,4.76530612244898,82.0,5.0,5.0,0.0
AAA,2013J,28400,F,Scotland,HE Qualification,20-30%,35-55,0,N,1,1435.0,3.3372093023255816,66.4,5.0,5.0,0.0
AAA,2013J,30268,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,Y,0,281.0,3.6973684210526314,0.0,0.0,0.0,0.0
AAA,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,N,1,2158.0,3.2549019607843137,76.0,5.0,5.0,0.0
AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,N,1,1034.0,2.9375,54.4,5.0,3.0,0.0
AAA,2013J,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,N,1,2445.0,3.3817427385892116,68.0,5.0,5.0,0.0
AAA,2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,N,1,1492.0,4.20281690140845,68.0,5.0,5.0,0.0
AAA,2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,N,1,1428.0,2.689265536723164,72.4,5.0,5.0,0.0
AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,N,1,1894.0,3.193929173693086,71.4,5.0,5.0,0.0
AAA,2013J,53025,M,North Region,Post Graduate Qualification,0,55<=,0,N,1,3158.0,3.493362831858407,78.0,5.0,5.0,0.0
AAA,2013J,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,N,1,1319.0,3.272952853598015,74.0,5.0,5.0,0.0
AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,N,1,1732.0,3.2927756653992395,73.2,5.0,5.0,0.0
AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,N,1,1102.0,3.1942028985507247,78.6,5.0,5.0,0.0
AAA,2013J,62155,F,North Western Region,HE Qualification,50-60%,0-35,0,N,1,3388.0,3.45361875637105,76.0,5.0,5.0,0.0
AAA,2013J,63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,N,1,2737.0,3.6013157894736842,71.6,5.0,5.0,0.0
AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,N,0,171.0,3.1666666666666665,67.0,2.0,2.0,0.0
AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,N,1,1053.0,5.136585365853659,55.6,5.0,4.0,0.0
AAA,2013J,71361,M,Ireland,HE Qualification,0,35-55,0,N,1,2327.0,3.1964285714285716,80.4,5.0,5.0,0.0
AAA,2013J,74372,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,N,0,116.0,1.6111111111111112,48.5,4.0,3.0,0.0
AAA,2013J,75091,M,South West Region,A Level or Equivalent,30-40%,35-55,0,N,1,2992.0,3.9681697612732094,66.0,5.0,5.0,0.0
AAA,2013J,77367,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,N,1,680.0,2.5092250922509227,70.4,5.0,5.0,0.0
AAA,2013J,91265,M,North Western Region,HE Qualification,0-10%,0-35,0,N,1,1494.0,3.0120967741935485,70.8,5.0,5.0,0.0
AAA,2013J,94961,M,South Region,Lower Than A Level,70-80%,35-55,0,N,0,339.0,3.323529411764706,74.0,1.0,1.0,0.0
AAA,2013J,98094,M,Wales,Lower Than A Level,70-80%,35-55,0,N,1,2839.0,7.3549222797927465,60.6,5.0,5.0,0.0
AAA,2013J,100893,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,N,1,744.0,3.0617283950617282,68.4,5.0,5.0,0.0
